,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
650,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
651,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
652,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
653,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
654,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
655,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
656,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
657,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
658,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
659,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,8,2.09,5,0,2,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,1,0,0,1,0,0,2,0.0,2,2,0,2,1,2,0,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
660,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
661,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
662,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
663,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,123,8,13,56,54,25,123,4,3,75.0,1,25.0,53,188,83,4,2,3,12,8,80,11,ma MAR,FW,Levante,La Liga 2,29-015,1995,2,82,41,5.4,0.9,1,62,0,1,20,0,2.00,2,2,0,0.00,-0.44,1.4,1.2,+0.2,+0.25,-0.02,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
664,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,0,0,12,5,4,0,2,3,0,0,0,11,29,16,64.4
665,Mohamed Bouldini,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,3,345,3.8,1,0,1,1,0,0,1,0,1.4,1.4,0.3,1.8,4,4,11,0.26,0.00,0.26,0.26,0.26,0.37,0.09,0.46,0.37,0.46,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,1,11,2,18.2,2.87,0.52,0.09,0.50,11.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,15,19,78.9,157,13,8,9,88.9,3,5,60.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,67,64,1,0,0,0,0,1,0,0,0,0,40,2,2,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,3.8,5,3,1,3,1,1,2,50.0,1,2,0,2,2,7,7,0,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,35,0,5,17,14,6,35,2,1,50.0,1,50.0,11,80,48,3,0,2,3,0,25,2,ma MAR,FW,La Coruña,La Liga 2,29-015,1995,10,345,35,21.3,3.8,3,64,0,7,22,2,0.70,3,2,+1,+0.26,+0.19,5.0,2.3,+2.6,+0.69,+0.91,ma MAR,FW,Levante,La Liga 2,29-015,1995,0.9,0,0,0,0,1,0,0,1,0,0,0,0,4,8,5,61.5
